-0.021,0.177,0.153,-0.169,0.156,-0.01
0.163,0.044,0.066,0.209,0.042,0.118
0.09,0.05,0.171,0.005,-0.22,0.092
-0.036,-0.237,-0.241,-0.014,-0.166,0.002
0.077,-0.286,-0.152,0.142,-0.17,0.076
-0.123,-0.114,-0.155,0.078,-0.097,-0.131
0.055,0.264,0.293,-0.086,0.034,0.196
0.12,-0.068,-0.003,-0.11,0.118,0.281
0.12,0.133,0.029,0.069,0.115,0.105
-0.042,-0.239,-0.207,-0.042,0.013,-0.085
-0.015,0.051,0.021,0.133,0.027,0.016
0.002,-0.137,-0.212,0.12,-0.1,-0.189
-0.212,-0.254,-0.186,-0.153,-0.21,-0.162
-0.142,-0.305,-0.244,-0.128,-0.284,-0.3
0.171,-0.148,-0.135,0.173,-0.076,-0.109
-0.154,0.058,-0.051,-0.128,0.038,-0.067
-0.061,-0.001,-0.061,-0.004,0.017,-0.074
0.107,0.194,0.207,-0.105,0.157,0.232
-0.249,-0.402,-0.34,-0.179,-0.152,-0.315
-0.015,-0.139,-0.281,0.189,-0.172,-0.176
-0.041,0.01,-0.006,-0.067,0.04,0.042
0.04,0.07,0.08,-0.002,-0.007,0.009
0.045,-0.006,0.045,0.02,0.044,-0.025
-0.059,-0.043,-0.026,-0.151,0.019,0.121
-0.029,-0.032,-0.08,0.07,-0.03,-0.013
0.013,-0.051,-0.019,0.041,-0.019,-0.015
-0.002,0.057,0.046,-0.031,0.011,0.045
0.03,0.03,-0.021,0.075,-0.025,0.049
0.026,0.076,0.108,0.001,0.078,0.039
0.032,0.034,0.056,0.004,0.004,0.016
